Course Name,Course ID,Difficulty (out of 5),Workload (hrs/wk),Overall (out of 5),Number of Reviews
"AI, Ethics, and Society",CS-6603,1.7,6.0,2.6,53
Advanced Hardware Oriented Security and Trust,ECE-8873,0.0,0.0,0.0,0
Advanced Internet Computing Systems and Applications,CS-6675,3.0,13.5,3.0,6
Advanced Operating Systems,CS-6210,4.2,18.6,4.1,85
Advanced Topics in Malware Analysis,CS-6747,3.6,16.1,4.6,7
Advanced Topics in Software Analysis and Testing,CS-6340,3.2,12.8,3.5,137
Applied Analytics Practicum,MGT-6748,2.3,13.5,4.3,4
Applied Cryptography,CS-6260,3.7,16.6,3.5,39
Artificial Intelligence,CS-6601,4.0,22.6,4.1,240
Artificial Intelligence Techniques for Robotics,CS-7638,3.1,13.6,3.9,239
Big Data Analytics for Healthcare,CSE-6250,4.1,27.7,3.7,61
Biomedical Analytics,CS-8803-O06,0.0,0.0,0.0,0
Business Fundamentals for Analytics,MGT-8803,3.0,8.0,2.4,85
Challenge of Terrorism in Democratic Societies,INTA-8803G,0.0,0.0,0.0,0
Compilers: Theory and Practice,CS-8803-O08,4.7,30.8,4.1,18
Computational Aspects of Cyber Physical Systems,ECE-8803a,0.0,0.0,0.0,0
Computational Aspects of Cyber Physical Systems,ECE-6150,0.0,0.0,0.0,0
"Computational Data Analysis: Learning, Mining, and Computation",ISYE-6740,3.7,14.5,4.1,37
Computational Journalism,CS-6465,3.0,15.0,4.0,1
Computational Photography,CS-6475,3.3,18.0,3.6,153
Computational Science and Engineering Algorithms,CSE-6140,0.0,0.0,0.0,0
Computational Statistics,ISYE-6416,3.0,12.0,3.0,1
Computer Networks,CS-6250,2.5,9.7,3.5,330
Computing for Data Analysis: Methods and Tools,CSE-6040,3.1,9.9,4.3,112
Computing for Good,CS-6150,2.0,8.5,2.5,2
Cyber Physical Design,ECE-8823,0.0,0.0,0.0,0
Cyber Physical Design and Analysis,CS-7639,3.1,12.0,2.9,33
Cyber Security Practicum,CS-6727,0.0,0.0,0.0,0
Data Analytics and Continuous Improvement,MGT-8823,1.2,4.0,3.6,13
Data Analytics and Security,INTA-6450,1.4,3.5,2.9,21
Data Analytics in Business,MGT-6203,1.9,5.6,2.3,113
Data Mining and Statistical Learning,ISYE-7406,2.3,14.6,3.6,19
Data Visualization for Health Informatics,CS-8803-O05,0.0,0.0,0.0,0
Data and Visual Analytics,CSE-6242,3.2,16.1,3.0,265
Database Systems Concepts and Design,CS-6400,2.8,11.3,2.6,230
Deep Learning,CS-7643,3.9,19.4,3.9,73
Design and Analysis of Experiments,ISYE-6413,0.0,0.0,0.0,0
Deterministic Optimization,ISYE-6669,3.8,12.9,3.8,44
Digital Health Equity,CS-8803-O16,0.0,0.0,0.0,0
Digital Marketing,MGT-6311,1.3,3.4,4.4,26
Distributed Computing,CS-7210,4.7,60.7,3.0,32
Educational Technology: Conceptual Foundations,CS-6460,2.8,14.3,4.0,91
Embedded Software,CS-8803-O04,3.5,16.5,3.7,10
Embedded Software Optimizations,CS-6291,3.6,15.9,3.6,35
Embedded Systems,ECE-8803c,0.0,0.0,0.0,0
Embedded Systems Security,ECE-8803d,0.0,0.0,0.0,0
Energy Systems Practicum,ECE-6266,0.0,0.0,0.0,0
Financial Modeling,MGT-8813,1.3,4.5,3.1,15
Game Artificial Intelligence,CS-7632,2.6,11.7,4.7,18
Global Entrepreneurship,CS-8803-O17,0.0,0.0,0.0,0
Graduate Introduction to Operating Systems,CS-6200,3.7,17.9,4.4,262
High Performance Computing,CSE-6220,4.2,19.9,4.3,68
High-Dimensional Data Analytics,ISYE-8803,4.1,18.1,4.3,32
High-Performance Computer Architecture,CS-6290,3.6,15.9,3.8,88
Human-Computer Interaction,CS-6750,2.5,12.0,4.1,213
Information Policy and Management,PUBP-6501,2.5,10.4,2.8,8
Information Security Lab: System and Network Defenses,CS-6264,3.8,17.0,3.2,5
Information Security Laboratory,CS-6265,4.3,29.9,4.6,20
Information Security Policies and Strategies,PUBP-6725,1.9,6.5,3.5,17
Information Security Practicum,CS-6266,0.0,0.0,0.0,0
Information Visualization,CS-7450,0.0,0.0,0.0,0
Information and Communications Technology Policy,PUBP-6502,1.3,2.3,4.3,3
International Security,INTA-6103,2.3,2.9,3.3,7
Internet and Public Policy,PUBP-6111,1.0,3.0,4.0,1
Intro to Cyber-Physical Systems Security,CS-6263,2.6,9.9,3.4,74
Introduction to Analytics Modeling,ISYE-6501,2.8,9.7,4.2,155
Introduction to Cognitive Science,CS-6795,2.0,11.0,3.3,3
Introduction to Computer Vision,CS-6476,4.0,22.0,3.8,162
Introduction to Computing Law,CS-8803-O15,0.0,0.0,0.0,0
Introduction to Cyber Physical Electric Energy Systems,ECE-8853,0.0,0.0,0.0,0
Introduction to Cyber Physical Electric Energy Systems,ECE-8803e,4.0,15.0,2.0,1
Introduction to Cyber Physical Systems Security,ECE-8813,0.0,0.0,0.0,0
Introduction to Graduate Algorithms,CS-6515,4.0,19.3,3.6,270
Introduction to Health Informatics,CS-6440,2.3,11.0,2.6,83
Introduction to Information Security,CS-6035,2.5,10.5,3.5,402
Introduction to Theory and Practice of Bayesian Statistics,ISYE-6420,3.2,12.4,2.8,57
Knowledge-Based Artificial Intelligence: Cognitive Systems,CS-7637,3.0,14.4,3.6,225
Machine Learning,CS-7641,4.1,21.7,3.2,288
Machine Learning for Trading,CS-7646,2.6,11.4,4.0,343
Malware Analysis and Defense,CS-8813,0.0,0.0,0.0,0
Mobile and Ubiquitous Computing,CS-7470,3.0,8.0,3.0,2
"Modeling, Simulation, and Military Gaming",CSE-6742,1.8,6.0,3.8,4
Natural Language Processing,CS-7650,3.0,15.0,5.0,1
Network Science: Methods and Applications,CS-7280,2.8,12.8,3.4,27
Network Security,CS-6262,3.0,12.9,3.2,127
Nonparametric Data Analysis,ISYE-6404,0.0,0.0,0.0,0
Policy Practicum,PUBP-6266,0.0,0.0,0.0,0
Power System Protection,ECE-6323,0.0,0.0,0.0,0
Power Systems Control and Operation,ECE-6320,0.0,0.0,0.0,0
Principles of Smart Electricity Grids,ECE-8863,0.0,0.0,0.0,0
Privacy for Professionals,MGT-6727,1.8,3.2,4.2,10
"Privacy, Technology, Policy, and Law",CS-6726,0.0,0.0,0.0,0
Probabilistic Models and Their Applications,ISYE-6650,2.0,5.0,4.0,1
Quantum Computing,CS-8803-O13,4.0,10.0,4.0,1
Reinforcement Learning and Decision Making,CS-7642,4.1,22.6,3.9,182
Scenario Writing and Path Gaming,INTA-6014,0.0,0.0,0.0,0
